Timestamp,Soll_X,Soll_Y,Soll_Z,Ist_X,Ist_Y,Ist_Z,Extruder_Pos,Soll_Velocity_TCP,Ist_Velocity_TCP,Ist_Velocity_Extruder,Error_TCP,Error_TCP_Speed,Ratio_Score
56.581183,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.581594,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.609807,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.610255,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.611005,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.611694,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.612426,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.612811,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.625595,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.626024,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.626500,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.627276,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.627691,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.628093,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.657072,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.657767,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.658493,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.659262,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.659806,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
